,Country/Region,Lat,Long,date,date_confirmed_cases
427,Kuwait,29.311659999999996,47.481766,1/24/20,0.0
428,Kyrgyzstan,41.20438,74.766098,1/24/20,0.0
429,Latvia,56.8796,24.6032,1/24/20,0.0
430,Lebanon,33.8547,35.8623,1/24/20,0.0
431,Lesotho,-29.61,28.2336,1/24/20,0.0
432,Liberia,6.4280550000000005,-9.429499,1/24/20,0.0
433,Libya,26.3351,17.228331,1/24/20,0.0
434,Lithuania,55.1694,23.8813,1/24/20,0.0
435,Luxembourg,49.8153,6.1296,1/24/20,0.0
436,Madagascar,-18.766947000000002,46.869107,1/24/20,0.0
437,Malawi,-13.2543,34.3015,1/24/20,0.0
438,Malaysia,4.210483999999999,101.97576600000001,1/24/20,0.0
439,Maldives,3.2028,73.2207,1/24/20,0.0
440,Mali,17.570692,-3.996166000000001,1/24/20,0.0
441,Malta,35.9375,14.3754,1/24/20,0.0
442,Mauritania,21.0079,-10.9408,1/24/20,0.0
443,Mauritius,-20.348404000000002,57.552152,1/24/20,0.0
444,Mexico,23.6345,-102.5528,1/24/20,0.0
445,Moldova,47.4116,28.3699,1/24/20,0.0
446,Monaco,43.7333,7.4167,1/24/20,0.0
447,Mongolia,46.8625,103.8467,1/24/20,0.0
448,Montenegro,42.708678000000006,19.37439,1/24/20,0.0
449,Morocco,31.7917,-7.0926,1/24/20,0.0
450,Mozambique,-18.665695,35.529562,1/24/20,0.0
451,Namibia,-22.9576,18.4904,1/24/20,0.0
452,Nepal,28.1667,84.25,1/24/20,0.0
453,Netherlands,21.408839999999998,-52.99206,1/24/20,0.0
454,New Zealand,-40.9006,174.886,1/24/20,0.0
455,Nicaragua,12.865416,-85.207229,1/24/20,0.0
456,Niger,17.607789,8.081666,1/24/20,0.0
457,Nigeria,9.082,8.6753,1/24/20,0.0
458,North Macedonia,41.6086,21.7453,1/24/20,0.0
459,Norway,60.472,8.4689,1/24/20,0.0
460,Oman,21.512583,55.92325500000001,1/24/20,0.0
461,Pakistan,30.3753,69.3451,1/24/20,0.0
462,Panama,8.538,-80.7821,1/24/20,0.0
463,Paraguay,-23.4425,-58.4438,1/24/20,0.0
464,Peru,-9.19,-75.0152,1/24/20,0.0
465,Philippines,12.879721,121.77401699999999,1/24/20,0.0
466,Poland,51.9194,19.1451,1/24/20,0.0
467,Portugal,39.3999,-8.2245,1/24/20,0.0
468,Qatar,25.3548,51.1839,1/24/20,0.0
469,Romania,45.9432,24.9668,1/24/20,0.0
470,Russia,61.52401,105.31875600000001,1/24/20,0.0
471,Rwanda,-1.9403,29.8739,1/24/20,0.0
472,San Marino,43.9424,12.4578,1/24/20,0.0
473,Sao Tome and Principe,0.1864,6.6131,1/24/20,0.0
474,Saudi Arabia,23.885942,45.079162,1/24/20,0.0
475,Senegal,14.4974,-14.4524,1/24/20,0.0
476,Serbia,44.0165,21.0059,1/24/20,0.0
477,Seychelles,-4.6796,55.492,1/24/20,0.0
478,Sierra Leone,8.460555000000001,-11.779889,1/24/20,0.0
